model,train_rows,test_rows,split_date,rmse,mae,r2,rank_by_rmse
random_forest,56217,18774,2021-03-31,1.7229919599699528,1.2676620819105329,0.38535179190195135,1
linear_regression,56217,18774,2021-03-31,1.7338409263192474,1.2476088953827098,0.3775870528487081,2
gradient_boosting,56217,18774,2021-03-31,2.2438046222722416,1.5224263732245151,-0.04238990002146292,3
