lag,coef,std_err,p_value,n_obs
1,-0.14756292213057534,0.006790892282625966,0.0,74991
2,-0.13683569524178982,0.006829657533389681,0.0,74991
3,-0.10767108794376982,0.006420499839916427,0.0,74991
