ticker,permno,date,comnam,rtype,ptype,psub,caldt,ym,usdret,usdprc,market_equity,assets,sales,net_income,book_equity,debt_at,cash_at,ocf_at,roe,btm,beta,quarter,MORTGAGE30US
AAT,12513,2015-07-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2015-09-30,2015m9,0.0668,40.86,1834.9818,1966.149,262.203,25.528,737.711,0.5502172,0.033004113,0.05601203,0.0300964364350478,0.4020263408805871,0.6005090856081955,2015Q3,
AAT,12513,2015-10-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2015-10-30,2015m10,0.0318,42.16,1893.3634,1974.313,266.749,30.469,780.944,0.53645647,0.023430936,0.057209775,0.0300964364350478,0.4124638619496706,0.5932262799019411,2015Q4,
AAT,12513,2016-01-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2016-03-31,2016m3,0.083,39.92,1812.6473,1996.075,270.66,37.551,802.167,0.5282612,0.032747265,0.057240836,0.0300964364350478,0.4425389092500685,0.6219323933068913,2016Q1,
AAT,12513,2016-04-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2016-04-29,2016m4,-0.0063,39.67,1801.256,1978.419,275.713,38.677,799.736,0.53565145,0.026055148,0.0559659,0.0300964364350478,0.4439880163884094,0.6039907327358223,2016Q2,
AAT,12513,2016-07-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2016-07-29,2016m7,0.0811,45.88,2083.4568,1977.826,280.41,38.301,793.799,0.53632927,0.026949793,0.05686749,0.0483727340719043,0.3810009548940571,0.6252149678978641,2016Q3,
AAT,12513,2016-10-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2016-10-31,2016m10,-0.0846,39.71,1803.2708,1971.913,285.472,37.195,783.591,0.53922564,0.027047846,0.059130397,0.0483727340719043,0.4345387421261997,0.4584211827713667,2016Q4,
AAT,12513,2017-01-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2017-03-31,2017m3,-0.0432,41.84,1942.6731,1989.228,290.174,32.117,792.58,0.5348175,0.036298,0.06203814,0.0483727340719043,0.4079842655402344,0.4316602886440456,2017Q1,
AAT,12513,2017-04-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2017-04-28,2017m4,0.0237,42.83,2017.8927,1986.933,295.16,32.774,809.821,0.53425556,0.027555535,0.061734844,0.0483727340719043,0.4013201315514507,0.437664604166813,2017Q2,
AAT,12513,2017-07-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2017-09-29,2017m9,-0.0145,39.77,1874.3601,2115.341,298.353,32.527,835.146,0.54860896,0.09452187,0.06440522,0.0404839195806096,0.4455632538030812,0.4116674473683239,2017Q3,
AAT,12513,2017-10-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2017-12-29,2017m12,-0.0216,38.24,1802.1748,2171.176,303.729,30.465,839.33,0.5642039,0.0186954,0.06586016,0.0404839195806096,0.4657317594144762,0.4140409743775754,2017Q4,
AAT,12513,2018-01-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2018-01-31,2018m1,-0.0779,35.26,1661.7332,2275.618,310.179,31.103,836.661,0.582172,0.045847327,0.06402876,0.0404839195806096,0.5034869530005418,0.3745653800277149,2018Q1,
AAT,12513,2018-04-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2018-05-31,2018m5,0.0828,36.35,1715.829,2259.864,315.531,29.318,833.833,0.5863273,0.04069006,0.06454061,0.0404839195806096,0.4859650978113203,0.4788675968860028,2018Q2,
AAT,12513,2018-07-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2018-07-31,2018m7,0.0037,38.43,1814.0114,2213.566,322.464,21.346,823.163,0.5799217,0.02946603,0.06414492,0.0351657051012942,0.4537805511968814,0.4417458366322223,2018Q3,
AAT,12513,2018-10-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2018-12-31,2018m12,-0.0281,40.17,1896.9076,2186.04,330.291,19.054,813.914,0.58127666,0.027772136,0.0660052,0.0351657051012942,0.4290741366305824,0.322934551894698,2018Q4,
AAT,12513,2019-01-01,AMERICAN ASSETS TRUST INC,2.0,2.0,4.0,2019-01-31,2019m1,0.069,42.94,2027.7126,2196.776,330.394,20.365,812.535,0.5784331,0.030106848,0.06327318,0.0351657051012942,0.4007150535665927,0.3577269092899557,2019Q1,
